iter	Logloss
0	0.6764956322
1	0.6614228911
2	0.6489019228
3	0.6382207954
4	0.6289007179
5	0.6177221127
6	0.6072430179
7	0.5970905219
8	0.5868605751
9	0.5786785378
10	0.5679948434
11	0.5579853771
12	0.5504268341
13	0.5432216399
14	0.5351240522
15	0.5270348573
16	0.518800003
17	0.5116218725
18	0.5026484599
19	0.4969820464
20	0.490162008
21	0.484058766
22	0.4783608968
23	0.4732294987
24	0.4673079458
25	0.4621361317
26	0.457025409
27	0.4516409056
28	0.4466767919
29	0.4415936975
30	0.4363569486
31	0.4321770728
32	0.427837988
33	0.4233850487
34	0.4190050404
35	0.4147187242
36	0.4108138178
37	0.4072601824
38	0.4040249835
39	0.4012202336
40	0.3973768346
41	0.3939429141
42	0.3908265058
43	0.3869940169
44	0.3848203729
45	0.3819060213
46	0.37874806
47	0.3764235741
48	0.3730773813
49	0.3694681358
50	0.3659992108
51	0.3633220138
52	0.3606917387
53	0.3582582962
54	0.3558733224
55	0.3534598702
56	0.3513686604
57	0.3489927393
58	0.3462993144
59	0.3441533224
60	0.3421761621
61	0.3399688321
62	0.337525058
63	0.3360416463
64	0.3341899373
65	0.3318342076
66	0.3293640637
67	0.3279731901
68	0.3254507957
69	0.3234619941
70	0.3214834186
71	0.3192701991
72	0.3175526374
73	0.3159089639
74	0.3139965774
75	0.3117896251
76	0.310091497
77	0.3083632394
78	0.3064671439
79	0.3044537746
80	0.3030424453
81	0.3009873389
82	0.299032251
83	0.2973395653
84	0.2958295963
85	0.2945522448
86	0.2931941379
87	0.291838374
88	0.2902897745
89	0.2890328155
90	0.2881398278
91	0.2864161361
92	0.2850261448
93	0.2837108704
94	0.2821047718
95	0.2806298785
96	0.2791313254
97	0.2777046176
98	0.2769141125
99	0.2757485511
