iter	Passed	Remaining
0	167	16616
1	170	8373
2	173	5616
3	175	4218
4	177	3379
5	179	2818
6	183	2432
7	185	2130
8	187	1897
9	189	1704
10	190	1544
11	192	1410
12	193	1296
13	195	1199
14	196	1114
15	198	1041
16	199	972
17	200	913
18	201	859
19	203	813
20	204	769
21	205	729
22	207	695
23	209	662
24	210	631
25	212	603
26	213	576
27	215	553
28	216	530
29	218	508
30	219	488
31	220	469
32	222	451
33	224	434
34	225	418
35	227	404
36	229	390
37	230	376
38	232	363
39	233	350
40	234	338
41	236	326
42	237	315
43	239	304
44	240	294
45	242	284
46	243	274
47	245	265
48	246	256
49	247	247
50	249	239
51	250	231
52	251	223
53	253	215
54	255	208
55	256	201
56	258	194
57	260	188
58	261	181
59	263	175
60	264	169
61	266	163
62	267	157
63	269	151
64	270	145
65	271	139
66	272	134
67	274	129
68	275	123
69	276	118
70	278	113
71	279	108
72	280	103
73	282	99
74	283	94
75	285	90
76	286	85
77	287	81
78	289	76
79	290	72
80	291	68
81	293	64
82	294	60
83	295	56
84	296	52
85	298	48
86	299	44
87	300	41
88	302	37
89	303	33
90	303	30
91	305	26
92	306	23
93	307	19
94	308	16
95	311	12
96	312	9
97	313	6
98	315	3
99	316	0
